mine_id,subunit_cd,calendar_yr,annual_hrs,annual_coal_prod,avg_annual_empl,load_dt
0103164,30,2017,18561,0,8,2018-01-31 01:03:39.334153 -05:00
0103172,99,2017,15266,0,7,2018-01-31 01:03:41.328311 -05:00
0103172,03,2017,90075,178083,36,2018-01-31 01:03:36.529232 -05:00
0103175,99,2017,3464,0,2,2018-01-31 01:03:38.587364 -05:00
0103175,30,2017,19060,0,8,2018-01-31 01:03:36.446507 -05:00
0103180,03,2017,109611,228365,42,2018-01-31 01:03:40.697257 -05:00
0103180,99,2017,10567,0,6,2018-01-31 01:03:38.512606 -05:00
0103190,30,2017,5597,0,2,2018-01-31 01:03:41.542261 -05:00
0103190,99,2017,9334,0,6,2018-01-31 01:03:38.763583 -05:00
0103190,03,2017,46897,0,22,2018-01-31 01:03:37.800584 -05:00
0103193,17,2017,8362,0,13,2018-01-31 01:03:41.171521 -05:00
0103193,99,2017,24226,0,12,2018-01-31 01:03:39.037779 -05:00
0103195,03,2017,20753,41797,15,2018-01-31 01:03:40.715034 -05:00
0103199,03,2017,12056,0,5,2018-01-31 01:03:39.299163 -05:00
0103199,99,2017,3534,0,1,2018-01-31 01:03:38.732646 -05:00
0103200,03,2017,40,0,2,2018-01-31 01:03:36.716988 -05:00
0103215,03,2017,19989,0,11,2018-01-31 01:03:37.160720 -05:00
0103215,99,2017,1826,0,1,2018-01-31 01:03:36.586500 -05:00
0103223,03,2017,7800,0,4,2018-01-31 01:03:37.591275 -05:00
0103226,17,2017,13429,0,20,2018-01-31 01:03:39.115970 -05:00
0103226,99,2017,3328,0,4,2018-01-31 01:03:38.150257 -05:00
0103227,99,2017,5720,0,3,2018-01-31 01:03:40.578589 -05:00
0103227,30,2017,101845,0,47,2018-01-31 01:03:40.194073 -05:00
0103231,99,2017,560,0,1,2018-01-31 01:03:39.666025 -05:00
0103234,03,2017,19485,0,8,2018-01-31 01:03:40.530372 -05:00
0103234,99,2017,4170,0,1,2018-01-31 01:03:37.978855 -05:00
0103237,99,2017,10508,0,6,2018-01-31 01:03:39.854577 -05:00
0103237,30,2017,65432,0,30,2018-01-31 01:03:37.325256 -05:00
0103241,03,2017,7397,0,4,2018-01-31 01:03:41.018040 -05:00
0103241,99,2017,2620,0,2,2018-01-31 01:03:36.477173 -05:00
0103246,03,2017,8492,7063,9,2018-01-31 01:03:39.569214 -05:00
0103248,99,2017,3232,0,1,2018-01-31 01:03:41.547444 -05:00
0103248,03,2017,89532,0,31,2018-01-31 01:03:38.274533 -05:00
0103254,03,2017,96,0,2,2018-01-31 01:03:39.251047 -05:00
0103258,03,2017,32239,0,12,2018-01-31 01:03:36.012402 -05:00
0103258,99,2017,3005,0,1,2018-01-31 01:03:36.259689 -05:00
0103262,30,2017,44215,0,16,2018-01-31 01:03:37.392830 -05:00
0103262,03,2017,35487,0,17,2018-01-31 01:03:37.194115 -05:00
0103262,99,2017,8736,0,3,2018-01-31 01:03:36.780932 -05:00
0103264,99,2017,8282,0,5,2018-01-31 01:03:38.812358 -05:00
0103264,30,2017,6139,0,2,2018-01-31 01:03:36.741864 -05:00
0103264,03,2017,6458,0,2,2018-01-31 01:03:36.529233 -05:00
0103270,03,2017,6517,0,4,2018-01-31 01:03:41.565303 -05:00
0103270,99,2017,7154,0,3,2018-01-31 01:03:41.484892 -05:00
0103270,30,2017,16173,0,5,2018-01-31 01:03:38.043324 -05:00
0103271,03,2017,4800,0,10,2018-01-31 01:03:38.061298 -05:00
0103272,03,2017,32921,0,12,2018-01-31 01:03:41.145841 -05:00
0103272,99,2017,2521,0,1,2018-01-31 01:03:37.758184 -05:00
0103276,99,2017,5523,0,3,2018-01-31 01:03:35.969169 -05:00
0103276,30,2017,2958,0,1,2018-01-31 01:03:39.569211 -05:00
0103276,03,2017,51404,0,24,2018-01-31 01:03:37.662526 -05:00
0103285,03,2017,21183,10594,8,2018-01-31 01:03:40.777290 -05:00
0103285,99,2017,288,0,1,2018-01-31 01:03:37.081499 -05:00
0103303,03,2017,4000,0,2,2018-01-31 01:03:39.974295 -05:00
0103310,03,2017,2080,0,2,2018-01-31 01:03:40.961196 -05:00
0103310,30,2017,4160,0,3,2018-01-31 01:03:39.516035 -05:00
0103310,99,2017,2340,0,1,2018-01-31 01:03:38.398906 -05:00
0103316,99,2017,10715,0,5,2018-01-31 01:03:40.273542 -05:00
0103316,03,2017,30021,0,12,2018-01-31 01:03:40.071671 -05:00
0103324,99,2017,10439,0,5,2018-01-31 01:03:39.456358 -05:00
0103324,06,2017,4874,0,2,2018-01-31 01:03:38.905917 -05:00
0103327,03,2017,28744,0,11,2018-01-31 01:03:38.093265 -05:00
0103327,99,2017,2917,0,2,2018-01-31 01:03:37.358656 -05:00
0103337,03,2017,1347,0,3,2018-01-31 01:03:36.409061 -05:00
0103342,03,2017,58594,89732,28,2018-01-31 01:03:41.160762 -05:00
